question_id,research_question,section,required_output,evidence_needed,status,note
Q1.1,风险控制为什么先于预测,P1 顶级交易员铁律,rule matrix,strong/medium,answered,已在交易铁律矩阵中用生存优先和风险预算解释
Q1.2,仓位/赔率/胜率/期望值如何统一,P1 顶级交易员铁律,formula table,strong,partially answered,已解释 EV/成本/仓位关系 仍可补公式化 Kelly 示例
Q1.3,如何处理错/慢/滑点/流动性,P1 顶级交易员铁律,execution checklist,strong/medium,answered,已连接 CLOB 深度 成本 成交概率和 LOB 文献
Q1.4,复盘和策略失效检测怎么做,P1 顶级交易员铁律,workflow,strong/medium,answered,已在交易铁律和量化 pipeline 中拆分预测/执行/仓位复盘
Q1.5,哪些交易行为是红旗,P1 顶级交易员铁律,risk triad,answered,已在铁律矩阵列出红旗行为
Q2.1,预测市场价格为什么可近似看作概率,P2 Polymarket 市场结构,mechanism,strong,answered,已用 Polymarket price/orderbook 文档解释价格和概率关系
Q2.2,Polymarket CLOB/订单簿/价格/流动性如何工作,P2 Polymarket 市场结构,system diagram,strong,answered,已加入 CLOB 拓扑和 live order book API 快照
Q2.3,费用/地域限制/监管/结算风险在哪里,P2 Polymarket 市场结构,risk matrix,strong,answered,已加入费用 地域限制 US DCM 和 CFTC 来源
Q2.4,ETH 短周期市场的边缘来自哪里,P2 Polymarket 市场结构,scenario matrix,strong/medium,partially answered,已覆盖信息/速度/流动性/成本 仍可加入真实成交回放
Q3.1,宏观利率/美元/风险资产 beta 如何影响 ETH,P3 ETH 波动因子,factor map,medium,partially answered,已作为宏观因子层解释 仍缺固定宏观数据源
Q3.2,ETF flows/机构持仓/监管预期如何影响 ETH,P3 ETH 波动因子,factor map,strong/medium,partially answered,已加入 SEC/issuer/Farside/CoinGlass 来源 但 flows 数值需 vendor 或人工复核
Q3.3,质押/发行/EIP-1559/gas/L2/Dencun 如何影响供需叙事,P3 ETH 波动因子,supply-demand diagram,strong,answered,已用 Ethereum docs EIP-1559 Dencun 解释协议供需层
Q3.4,期货/永续/期权/资金费率/清算/波动率如何影响短线,P3 ETH 波动因子,microstructure table,medium,partially answered,已加入 Binance funding/OI Deribit IV/OI CoinGlass 清算源 仍缺跨交易所聚合
Q3.5,新闻/黑客/升级/监管/稳定币/BTC 联动如何冲击 ETH,P3 ETH 波动因子,event taxonomy,medium,answered,已作为事件冲击层说明
Q4.1,概率论/统计推断/假设检验解决什么,P4 数学知识域,mapping matrix,strong,answered,已在数学矩阵中解释
Q4.2,时间序列/随机过程/状态空间模型解决什么,P4 数学知识域,mapping matrix,strong,answered,已在数学矩阵中解释
Q4.3,优化/组合理论/风险度量解决什么,P4 数学知识域,mapping matrix,strong,answered,已在数学矩阵中解释
Q4.4,机器学习/深度学习/贝叶斯/因果推断解决什么,P4 数学知识域,mapping matrix,strong,answered,已在数学矩阵中解释
Q4.5,信息论/博弈论/市场微观结构解决什么,P4 数学知识域,mapping matrix,strong,answered,已在数学矩阵中解释
Q5.1,从数据到 alpha 的研究流程是什么,P5 量化公司流程,pipeline,strong/medium,answered,已在研究工厂流程图中解释
Q5.2,标签/特征/训练/验证/回测如何防止过拟合,P5 量化公司流程,qa checklist,strong,answered,已覆盖 walk-forward leakage cost backtest
Q5.3,交易成本/市场冲击/fill probability/容量如何进入模型,P5 量化公司流程,cost model,strong,answered,已覆盖 spread fee slippage market impact fill probability
Q5.4,预测模型如何变成组合/执行/风控系统,P5 量化公司流程,system board,strong/medium,answered,已在 pipeline 中从模型连接到组合 执行 风控
Q5.5,上线后如何监控 decay/regime shift/异常,P5 量化公司流程,monitoring checklist,strong/medium,answered,已覆盖灰度上线 监控 漂移 衰减 下线
Q6.1,哪些变量适合模型化,P6 落地判断,triage matrix,strong/medium,answered,已在落地边界和实时数据源层中分类
Q6.2,哪些变量必须人工判断或降级为 caveat,P6 落地判断,triage matrix,strong/medium,answered,已将事件 规则 地域 合规 ETF/清算 vendor 限制写成 caveat
Q6.3,最小可行研究系统怎么搭,P6 落地判断,implementation roadmap,medium,partially answered,已给出可复跑 fetch_market_data 脚本和数据层 仍待接入跨 venue vendor 与回测
